source_id	teff_gspphot	logg_gspphot	mh_gspphot	azero_gspphot	teff_gspspec	logg_gspspec	mh_gspspec
4974071345705127808	5883.612	4.1441	-0.176	0.0008	5747.0	3.95	-0.21
5090982657602752384					4675.0	2.04	-0.37
5341662547039508736	7962.11	3.7248	-0.5535	0.0052	7852.0	4.41	-1.73
5358234111401236224							
5406524284130774784							
5465873276080129792	5637.5483	3.9265	-0.023	0.2731	5258.0	3.6	-0.1
5807928835230716544	9164.315	4.3314	0.1119	0.4255			
5945128885445151232	6115.484	4.4572	-0.1662	0.1556	5982.0	4.2	-0.18
6030546026816633344	4901.1455	2.6671	-0.1299	0.5344	4729.0	2.11	-0.14
6643602576214115584	9553.676	4.1187	-1.4883	0.0001			
6890853093140697856	6107.7603	4.0868	-0.4331	0.0165	6371.0	4.15	-0.02
53699774240422400							
177264677680737280					6471.0	3.56	-1.1
505982473582733696							
884111050719101056	7469.1465	4.1698	-0.4957	0.0497			
887607566415002624	4576.5396	2.0358	0.1127	0.6232	4248.0	1.24	-0.34
1608240647038538240					5433.0	3.5	0.36
1804951210053362816	5879.4854	4.0109	-0.153	0.001			
1808532186282904192	4849.139	2.4236	0.1246	0.6501	4519.0	1.85	-0.23
1819790257674497664	6344.0312	4.133	-0.4381	0.211	6234.0	4.11	-0.2
1842567839301395712					4241.0	1.4	-0.04
2343930542972270336	4795.9336	2.4696	0.2603	0.7332	4278.0	1.5	-0.33
2411441308536694528	7137.2495	3.8319	-0.3913	0.0022			
2573404185966537984	4631.218	4.5566	0.0698	0.0003	4722.0	4.22	-0.02
2629995770275064960	6450.816	4.2643	-0.2425	0.0015	6280.0	4.26	-0.52
2994496729724227584	4593.6284	2.377	-0.2637	0.1091	4631.0	1.97	-0.16
3007999003091928960					4813.0	1.79	-0.14
3105752394329215744	6048.221	4.2873	-0.6093	0.0351	6417.0	4.31	-0.45
3423644914135911040	6509.7354	3.944	-0.7875	0.0023	3175.0	4.95	
3439373015655206656							
4036930819221904128	4849.696	2.5148	-0.2497	0.1292	4882.0	2.32	-0.15
4152501139157865984					4664.0	2.02	-0.23
4237825371774101376					6243.0	3.91	-0.07
4531892539760393088					3799.0	0.51	-0.53
4786896258627095040	6362.426	3.4836	-0.667	0.0023			
4967253377179058944							
5240800394058304768	7518.9927	3.6062	-1.9139	0.0454			
5243173204534527360							
5253989478377698048							
5269159616397419392	10483.651	3.8665	0.7913	0.5728			
5272572363052713984	4502.464	2.304	-0.2104	0.0025	4592.0	2.14	-0.02
5350422768488404864					7034.0	3.16	-0.7
5352233320541858688	4931.7686	2.5445	-0.391	0.0037	4958.0	2.41	-0.06
5476788368532445440					6350.0	4.37	-0.27
5753561764798687488					4670.0	2.13	-0.16
5902256040878672768	6071.928	3.6981	-0.5332	0.0998	6007.0	3.81	-0.51
5904288483795068288	7803.735	3.7619	-0.6587	0.3792			
5972249542379859840					8000.0	4.73	-1.56
6003880292840386688	6883.2583	3.8998	-0.4537	0.1935			
6134876967163846656	9621.975	3.7791	0.1812	0.3898			
6386306792205520896	6585.7275	4.2694	-0.0959	0.0682	6328.0	4.13	-0.44
6589337829090808448	5967.7974	4.0523	-0.4687	0.0032			
6661158448312075264	4471.157	1.9242	0.0141	0.6323	4229.0	1.28	-0.24
6797207309847676800	7058.1904	4.1989	-0.1099	0.0328			
6893425228795196672	6069.382	3.9133	-0.6857	0.023	6112.0	3.84	-0.37
6896911505289064064	5061.466	2.8526	-0.0897	0.1516	4923.0	2.34	-0.05
771654307099023232	4886.8096	2.5628	-0.2792	0.1225	4733.0	2.01	-0.27
1268847761463148416	5830.8975	4.2665	-0.2547	0.01	5991.0	4.13	-0.08
1383020155538463232	4750.426	2.4591	0.3358	0.7158	4271.0	1.58	-0.1
1856282430097116928	4868.782	2.5943	0.2044	0.9346	4507.0	1.82	-0.21
1863410495267852544	12435.128	3.9884	-1.3714	0.1555			
2068446530246228608	9775.957	4.2471	0.4203	0.3493	8000.0	4.68	-0.62
2130124871958533376	9915.259	3.9737	0.1515	0.125			
2867085425373536512	7502.1416	4.0835	-0.7051	0.0013			
3024322700612688256	6726.469	4.2134	-0.0925	0.0981			
3111255931062245888	8808.422	3.9253	0.0252	0.246			
3126070441499557632	10630.58	4.0033	0.4361	0.069			
3222083610762060160					5207.0	2.9	0.16
3293489052669472768	6708.83	4.1842	-0.4412	0.5694			
3344435027022560768							
3365690240353310976							
3379306180034705152	4345.584	1.6258	0.0482	0.8227	4032.0	0.6	-0.4
3389960275907606912					4818.0	2.97	0.28
3394536408942157312					6354.0	5.01	-0.22
3426272192873662720	9686.311	4.2096	-0.3722	0.3465			
3615011820572410240	6785.4214	4.0466	-0.5187	0.003	6998.0	4.45	-0.38
4053585083089508992					4370.0	1.65	-0.17
4056245802500097152	8486.844	3.2239	-0.1986	0.9237			
4256464357304224384	6385.52	4.1984	-0.3982	0.1465			
4281286622571581056	10061.885	4.2512	-0.4043	0.984			
4314761116641623168	6169.4507	4.0045	-0.514	0.2539	6188.0	3.89	-0.24
4341524470910243584	4466.0083	2.0056	-0.0213	0.7605	4330.0	1.44	-0.11
