cloud mass_nicest mass_leike mass_ratio max_ak_nicest max_ak_leike
Chamaeleon 4905 4397 1.1 1.19 0.29
Ophiuchus 9395 7885 1.2 1.99 0.31
Lupus 10397 8852 1.2 1.55 0.28
Taurus 15610 14931 1.0 0.90 0.38
Perseus 16497 13314 1.2 1.40 0.28
Musca 586 486 1.2 0.47 0.19
Pipe 845 522 1.6 1.29 0.23
Cepheus 12428 10414 1.2 1.15 0.33
Oriona 32122 9434 3.4 1.48 0.34
Orionb 29285 17325 1.7 1.34 0.33
Orionlam 11704 856 13.7 1.36 0.22
